invoice,date,storenumber,storename,address,city,zipcode,storelocation,countynumber,county,category,categoryname,vendornumber,vendorname,itemnumber,itemdescription,pack,bottlevolume,statebottlecost,statebottleretail,bottlessold,sale,volumesoldl,volumesoldg
INV-42101600001,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1701100,Temporary & Specialty Packages,260,DIAGEO AMERICAS,11287,Crown Royal 18YR Extra Rare,6,750,$69.99 ,$104.99 ,3,314.97,2.25,0.59
INV-42102600004,11/17/2021,3682,Jumbo's,110 E Main St,Wesley              ,50483,POINT (-92.553024 43.36384),55,Kossuth,1031100,American Vodkas,421,SAZERAC COMPANY  INC,38088,Platinum 7x Vodka,6,1750,$9.44 ,$14.16 ,6,84.96,10.5,2.77
INV-42101500031,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1082200,Imported Schnapps,421,SAZERAC COMPANY  INC,69638,Dr McGillicuddys Cherry,6,1750,$14.66 ,$21.99 ,6,131.94,10.5,2.77
INV-42102000003,11/17/2021,3987,Wine and Spirits Shoppe Of,111 S Phillips St,Algona              ,50511,POINT (-94.226874 43.068382),55,Kossuth,1701100,Temporary & Specialty Packages,260,DIAGEO AMERICAS,6016,Lagavulin Offerman Edition Finished in Guinness Casks,6,750,$44.99 ,$67.49 ,3,202.47,2.25,0.59
INV-42102400001,11/17/2021,5655,One Stop Shop #3 / Algona,220 S Phillips St,Algona              ,50511,POINT (-94.226877 43.06732),55,Kossuth,1081300,American Cordials & Liqueur,322,Prestige Wine & Spirits Group / United States Distilled Products Co,75210,Kinky Pink,6,750,$10.00 ,$15.00 ,6,90,4.5,1.18
INV-42102600003,11/17/2021,3682,Jumbo's,110 E Main St,Wesley              ,50483,POINT (-92.553024 43.36384),55,Kossuth,1081400,American Schnapps,65,Jim Beam Brands,82849,Dekuyper Luscious Peachtree PET,6,1750,$11.54 ,$17.31 ,6,103.86,10.5,2.77
INV-42102300008,11/17/2021,5655,One Stop Shop #3 / Algona,220 S Phillips St,Algona              ,50511,POINT (-94.226877 43.06732),55,Kossuth,1701100,Temporary & Specialty Packages,346,OLE SMOKY DISTILLERY LLC,80365,Ole Smoky White Chocolate Strawberry Cream,6,750,$12.50 ,$18.75 ,6,112.5,4.5,1.18
INV-42101500029,11/17/2021,2585,Hy-Vee Wine and Spirits / Algona,1502 Highway 169 N Suite 1,Algona              ,50511,POINT (-94.235955 43.08091),55,Kossuth,1081400,American Schnapps,65,Jim Beam Brands,82787,Dekuyper Buttershots,12,1000,$7.87 ,$11.81 ,12,141.72,12,3.17
INV-42102500002,11/17/2021,4268,Fareway Stores #531 / Algona,1905 Highway 18 E,Algona              ,50511,POINT (-94.214064 43.082782),55,Kossuth,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,65013,Fireball Cinnamon Whiskey Mini Sleeve,12,50,$4.30 ,$6.45 ,12,77.4,0.6,0.15
INV-42102000017,11/17/2021,3987,Wine and Spirits Shoppe Of,111 S Phillips St,Algona              ,50511,POINT (-94.226874 43.068382),55,Kossuth,1082200,Imported Schnapps,421,SAZERAC COMPANY  INC,69638,Dr McGillicuddys Cherry,6,1750,$14.66 ,$21.99 ,6,131.94,10.5,2.77
